season,matchid,player,playerid,eventtype,minute,team
2020-2021,056f7848,Papakouli Diop,7329018e,yellow_red_card,87,h
2020-2021,083135b8,Yangel Herrera,e778654a,goal,49,h
2020-2021,083135b8,Luis Milla,19c36442,goal,53,h
2020-2021,15d5602e,Adrián López,88a359d4,goal,10,a
2020-2021,15d5602e,Rubén García,5c96b017,goal,79,a
2020-2021,8c3b5490,Cristian Tello,72a99e38,goal,90+4,a
2020-2021,36e547b6,Míchel,418f8f61,goal,39,h
2020-2021,36e547b6,Roberto López,2a8c9f98,goal,60,a
2020-2021,b9a5d357,Gerard Moreno,81f0781e,penalty_goal,68,h
2020-2021,b9a5d357,Pablo Maffeo,5db04597,goal,42,a
2020-2021,49d3b582,Gabriel Paulista,b7ca5c51,goal,12,h
2020-2021,49d3b582,Maxi Gómez,4c2e9442,goal,39,h
2020-2021,49d3b582,Manu Vallejo,0bc4e720,goal,75,h
2020-2021,49d3b582,Manu Vallejo,0bc4e720,goal,90+4,h
2020-2021,49d3b582,José Luis Morales,4a478107,goal,1,a
2020-2021,49d3b582,José Luis Morales,4a478107,goal,36,a
2020-2021,c9880239,Gerard Moreno,81f0781e,goal,63,h
2020-2021,c9880239,Paco Alcácer,a7a9d95a,goal,71,h
2020-2021,c9880239,Kike,e897d8ba,goal,50,a
2020-2021,55e47b9d,Jaime Mata,02319ad7,goal,54,h
2020-2021,a63e9783,Iago Aspas,7dcf86f6,goal,13,h
2020-2021,a63e9783,Iago Aspas,7dcf86f6,goal,57,h
2020-2021,a63e9783,Maxi Gómez,4c2e9442,goal,46,a
2020-2021,8598db55,Álvaro Negredo,63b0ca6b,goal,11,a
2020-2021,8598db55,Jorge Pombo,0a8bcb23,goal,83,a
2020-2021,98b24ea3,Roberto Soldado,9d66fbe3,goal,7,h
2020-2021,98b24ea3,Darwin Machís,ed6ea4d9,goal,79,h
2020-2021,98b24ea3,Joselu,6265208f,goal,22,a
2020-2021,c6a6db36,Nabil Fekir,bece776f,penalty_goal,10,h
2020-2021,c6a6db36,William Carvalho,dee86451,goal,18,h
2020-2021,fecf3cbd,Daniel Wass,d83bbc54,goal,38,h
2020-2021,fecf3cbd,Dimitris Siovas,92d38e6c,goal,63,a
2020-2021,970ca4d6,Portu,1bda5842,goal,55,a
2020-2021,970ca4d6,Adnan Januzaj,4737cebe,penalty_goal,77,a
2020-2021,970ca4d6,Roberto López,2a8c9f98,goal,90+4,a
2020-2021,eca849a3,Aïssa Mandi,fbd6378b,goal,35,h
2020-2021,eca849a3,William Carvalho,dee86451,goal,37,h
2020-2021,eca849a3,Emerson,df8b52a5,red_card,67,h
2020-2021,eca849a3,Federico Valverde,0959c2a2,goal,14,a
2020-2021,eca849a3,Emerson,df8b52a5,own_goal,48,a
2020-2021,eca849a3,Sergio Ramos,08511d65,penalty_goal,82,a
2020-2021,3e106d0a,Roberto Torres,d733aa38,goal,38,h
2020-2021,3e106d0a,Gonzalo Melero,3902e91b,goal,41,a
2020-2021,3e106d0a,Roger Martí,0ae4e09a,goal,77,a
2020-2021,3e106d0a,José Luis Morales,4a478107,goal,81,a
2020-2021,beb62b3e,Kike,e897d8ba,goal,48,h
2020-2021,beb62b3e,Unai López,88050721,goal,40,a
2020-2021,beb62b3e,Unai López,88050721,goal,87,a
2020-2021,5ad39ebe,Diego Costa,a190d597,goal,9,h
2020-2021,5ad39ebe,Ángel Correa,01eb744d,goal,47,h
2020-2021,5ad39ebe,João Félix,8aafd64f,goal,65,h
2020-2021,5ad39ebe,Marcos Llorente,02c15616,goal,72,h
2020-2021,5ad39ebe,Luis Suárez,a6154613,goal,85,h
2020-2021,5ad39ebe,Luis Suárez,a6154613,goal,90+3,h
2020-2021,5ad39ebe,Jorge Molina,43f71e77,goal,87,a
2020-2021,45e6c785,Sergi Guardiola,32974271,penalty_goal,66,h
2020-2021,45e6c785,Iago Aspas,7dcf86f6,goal,44,a
2020-2021,d3862248,Salvi,405f267a,goal,48,h
2020-2021,d3862248,Luuk de Jong,abb3bb95,goal,65,a
2020-2021,d3862248,Munir El Haddadi,8696bc90,goal,90,a
2020-2021,d3862248,Ivan Rakitić,89f951b5,goal,90+4,a
2020-2021,67e47686,Ansu Fati,0ba976e4,goal,15,h
2020-2021,67e47686,Ansu Fati,0ba976e4,goal,19,h
2020-2021,67e47686,Lionel Messi,d70ce98e,penalty_goal,35,h
2020-2021,67e47686,Pau Torres,532e1e4f,own_goal,45,h
2020-2021,543c20ca,Maxi Gómez,4c2e9442,goal,75,a
2020-2021,3134d731,Ángel Rodríguez,8cfc2f69,goal,13,h
2020-2021,3134d731,Marc Cucurella,1daec722,goal,39,h
2020-2021,3134d731,Ángel Rodríguez,8cfc2f69,goal,42,h
2020-2021,3134d731,Aïssa Mandi,fbd6378b,yellow_red_card,83,a
2020-2021,0a2446dc,Paco Alcácer,a7a9d95a,goal,13,h
2020-2021,0a2446dc,Gerard Moreno,81f0781e,penalty_goal,45,h
2020-2021,0a2446dc,Paco Alcácer,a7a9d95a,goal,67,h
2020-2021,0a2446dc,Édgar Méndez,aed746df,goal,36,a
2020-2021,85fa82a1,Lucas Boyé,d49f3e6b,goal,37,a
2020-2021,9d7e2859,Vinicius Júnior,7111d552,goal,65,h
2020-2021,3dcf270b,Youssef En-Nesyri,04e17fd5,goal,90+2,h
2020-2021,f85d48a3,Carlos Akapo,f2a68b97,yellow_red_card,48,a
2020-2021,f85d48a3,Unai López,88050721,own_goal,57,a
2020-2021,f85d48a3,Álvaro Negredo,63b0ca6b,yellow_red_card,70,a
2020-2021,9b6cefe1,Ansu Fati,0ba976e4,goal,11,a
2020-2021,9b6cefe1,Clément Lenglet,4f28a6ff,yellow_red_card,42,a
2020-2021,9b6cefe1,Lucas Olaza,4cee5954,own_goal,51,a
2020-2021,9b6cefe1,Sergi Roberto,335fa267,goal,90+5,a
2020-2021,e50b93e5,Toni Villa,636eae97,goal,37,h
2020-2021,e50b93e5,Esteban Burgos,40449bbd,penalty_goal,29,a
2020-2021,e50b93e5,Papakouli Diop,7329018e,red_card,73,a
2020-2021,e50b93e5,Kévin Rodrigues,f1bed920,goal,90,a
2020-2021,913d2329,Mikel Oyarzabal,8c3c640c,penalty_goal,28,h
2020-2021,913d2329,Mikel Merino,d080ed5e,goal,79,h
2020-2021,913d2329,Portu,1bda5842,goal,81,h
2020-2021,456c15cf,Sergio Canales,a6de370d,goal,19,a
2020-2021,456c15cf,Cristian Tello,72a99e38,goal,74,a
2020-2021,ed786021,Facundo Roncaglia,51e3954c,goal,23,h
2020-2021,ed786021,Jonathan Calleri,6922f806,goal,76,h
2020-2021,02286a68,Rodrigo Ely,fd47b4f2,goal,74,h
2020-2021,02286a68,Rubén Duarte,1fe0492d,yellow_red_card,86,h
2020-2021,9364ca86,Vinicius Júnior,7111d552,goal,16,a
2020-2021,9364ca86,Karim Benzema,70d74ece,goal,90+5,a
2020-2021,7da57e66,Iván Alejo,3d7e48ce,goal,48,h
2020-2021,7da57e66,Germán Sánchez,ea9b2ef9,goal,27,a
2020-2021,3c20c9a2,Philippe Coutinho,0ef89a37,goal,10,h
2020-2021,3c20c9a2,Luuk de Jong,abb3bb95,goal,8,a
2020-2021,9d291faa,Yangel Herrera,e778654a,goal,82,h
2020-2021,9d291faa,Joan Jordán,2a0c8ba4,yellow_red_card,45+4,a
2020-2021,2a78c932,Luis Suárez,a6154613,goal,6,a
2020-2021,2a78c932,Yannick Carrasco,de39485a,goal,90+5,a
2020-2021,edd4d083,Anthony Lozano,38699c72,goal,16,a
2020-2021,ffc25afd,Jaime Mata,02319ad7,penalty_goal,56,h
2020-2021,647c55ca,Jon Moncayola,9939e168,yellow_red_card,88,a
2020-2021,0793d671,Álex Berenguer,dc1c2fce,goal,68,h
2020-2021,0793d671,Iñaki Williams,6a99e0b1,goal,79,h
2020-2021,4aa7eefd,Paco Alcácer,a7a9d95a,penalty_goal,6,h
2020-2021,4aa7eefd,Daniel Parejo,7460ca0d,goal,69,h
2020-2021,4aa7eefd,Takefusa Kubo,16aa3654,yellow_red_card,90+2,h
2020-2021,4aa7eefd,Gonçalo Guedes,e6bc67d7,goal,37,a
2020-2021,d32a8736,Pere Milla,335039a2,goal,39,a
2020-2021,d32a8736,Tete Morente,004d185e,goal,86,a
2020-2021,315c4b8e,Rafa Mir,bbf5c11b,goal,52,h
2020-2021,315c4b8e,Sandro Ramírez,833fb62e,goal,56,h
2020-2021,315c4b8e,Bruno González,f11fe861,goal,35,a
2020-2021,315c4b8e,Waldo Rubio,ccaa5728,penalty_goal,51,a
2020-2021,4794b1a6,Portu,1bda5842,goal,43,a
2020-2021,4794b1a6,Mikel Oyarzabal,8c3c640c,penalty_goal,74,a
2020-2021,4794b1a6,Adnan Januzaj,4737cebe,goal,88,a
2020-2021,7403c103,Josan,5b28b2f6,goal,19,h
2020-2021,7403c103,Fidel,eb82b6f1,goal,37,h
2020-2021,7403c103,Toni Lato,8e088e04,goal,74,a
2020-2021,9b07dcbc,Ansu Fati,0ba976e4,goal,8,h
